parts_count,machine_status,job_id,machine_id,created_at,updated_at,total_run_time,total_cutting_time,run_time,feed_rate,cutting_speed,spindle_speed,spindle_load,axis_load,axis_name,programe_number,programe_description,run_second,total_run_second
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:39:35 UTC,2017-08-09 03:39:35 UTC,4972,219599,8,0,4501,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:39:58 UTC,2017-08-09 03:39:58 UTC,4972,219599,8,450,4498,,,,,3523,,,
0,2,"",53,2017-08-09 03:40:20 UTC,2017-08-09 03:40:20 UTC,4972,219599,8,0,0,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:40:42 UTC,2017-08-09 03:40:42 UTC,4973,219599,9,0,1401,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:41:05 UTC,2017-08-09 03:41:05 UTC,4973,219599,9,26000,0,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:41:27 UTC,2017-08-09 03:41:27 UTC,4973,219599,10,26000,3600,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:41:50 UTC,2017-08-09 03:41:50 UTC,4974,219599,10,0,3599,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:42:12 UTC,2017-08-09 03:42:12 UTC,4974,219600,10,320,3599,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:42:34 UTC,2017-08-09 03:42:34 UTC,4975,219600,11,480,3498,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:42:57 UTC,2017-08-09 03:42:57 UTC,4975,219600,11,180,1499,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:43:19 UTC,2017-08-09 03:43:19 UTC,4975,219600,11,0,1499,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:43:42 UTC,2017-08-09 03:43:42 UTC,4976,219600,12,480,3999,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:44:04 UTC,2017-08-09 03:44:04 UTC,4976,219600,12,120,1798,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:44:27 UTC,2017-08-09 03:44:27 UTC,4976,219601,13,120,1801,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:44:50 UTC,2017-08-09 03:44:50 UTC,4977,219601,13,0,0,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:45:12 UTC,2017-08-09 03:45:12 UTC,4977,219601,13,0,2501,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:45:35 UTC,2017-08-09 03:45:35 UTC,4978,219601,14,0,4999,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:45:57 UTC,2017-08-09 03:45:57 UTC,4978,219601,14,1199,4999,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:46:20 UTC,2017-08-09 03:46:20 UTC,4978,219602,14,0,5001,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:46:42 UTC,2017-08-09 03:46:42 UTC,4979,219602,15,0,5000,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:47:05 UTC,2017-08-09 03:47:05 UTC,4979,219602,15,100,999,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:47:27 UTC,2017-08-09 03:47:27 UTC,4979,219602,16,100,998,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:47:50 UTC,2017-08-09 03:47:50 UTC,4980,219603,16,100,998,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:48:12 UTC,2017-08-09 03:48:12 UTC,4980,219603,16,451,2000,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:48:35 UTC,2017-08-09 03:48:35 UTC,4980,219603,17,302,2000,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:48:57 UTC,2017-08-09 03:48:57 UTC,4981,219603,17,0,1999,,,,,3523,,,
0,3,(*BLOCK MOUNTING 1ST OPN-10*),53,2017-08-09 03:49:20 UTC,2017-08-09 03:49:20 UTC,4981,219604,17,2091,6001,,,,,3523,,,
