parts_count,machine_status,job_id,machine_id,created_at,updated_at,total_run_time,total_cutting_time,run_time,feed_rate,cutting_speed,spindle_speed,spindle_load,axis_load,axis_name,programe_number,programe_description,run_second,total_run_second
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:52:42 UTC,2017-08-09 03:52:42 UTC,5187,285603,34,1900,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:53:04 UTC,2017-08-09 03:53:04 UTC,5187,285603,35,1900,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:53:27 UTC,2017-08-09 03:53:27 UTC,5188,285603,35,1900,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:53:50 UTC,2017-08-09 03:53:50 UTC,5188,285604,35,1900,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:54:12 UTC,2017-08-09 03:54:12 UTC,5188,285604,36,30000,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:54:35 UTC,2017-08-09 03:54:35 UTC,5189,285604,36,0,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:54:57 UTC,2017-08-09 03:54:57 UTC,5189,285604,37,1480,5999,,,,,3524,,,
1,3,"",49,2017-08-09 03:55:19 UTC,2017-08-09 03:55:19 UTC,5190,285605,37,0,0,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:55:42 UTC,2017-08-09 03:55:42 UTC,5190,285605,37,1000,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:56:04 UTC,2017-08-09 03:56:04 UTC,5190,285605,38,1000,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:56:27 UTC,2017-08-09 03:56:27 UTC,5191,285606,38,1000,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:56:49 UTC,2017-08-09 03:56:49 UTC,5191,285606,38,900,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:57:12 UTC,2017-08-09 03:57:12 UTC,5191,285606,39,0,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:57:34 UTC,2017-08-09 03:57:34 UTC,5192,285606,39,900,4499,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:57:58 UTC,2017-08-09 03:57:58 UTC,5192,285607,40,600,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:58:24 UTC,2017-08-09 03:58:24 UTC,5193,285607,40,1000,4200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:58:46 UTC,2017-08-09 03:58:46 UTC,5193,285607,40,1000,4200,,,,,3524,,,
1,2,"",49,2017-08-09 03:59:08 UTC,2017-08-09 03:59:08 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 03:59:31 UTC,2017-08-09 03:59:31 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 03:59:53 UTC,2017-08-09 03:59:53 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:00:16 UTC,2017-08-09 04:00:16 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:00:38 UTC,2017-08-09 04:00:38 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:01:01 UTC,2017-08-09 04:01:01 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:01:23 UTC,2017-08-09 04:01:23 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:01:46 UTC,2017-08-09 04:01:46 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:02:08 UTC,2017-08-09 04:02:08 UTC,5193,285607,40,0,0,,,,,3524,,,
1,2,"",49,2017-08-09 04:02:30 UTC,2017-08-09 04:02:30 UTC,5193,285607,40,0,0,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:02:53 UTC,2017-08-09 04:02:53 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:03:15 UTC,2017-08-09 04:03:15 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:03:38 UTC,2017-08-09 04:03:38 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:04:00 UTC,2017-08-09 04:04:00 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:04:23 UTC,2017-08-09 04:04:23 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:04:45 UTC,2017-08-09 04:04:45 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:05:08 UTC,2017-08-09 04:05:08 UTC,5193,285607,41,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:05:30 UTC,2017-08-09 04:05:30 UTC,5193,285607,41,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:05:53 UTC,2017-08-09 04:05:53 UTC,5194,285608,0,3000,3200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:06:15 UTC,2017-08-09 04:06:15 UTC,5194,285608,0,30000,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:06:37 UTC,2017-08-09 04:06:37 UTC,5194,285608,1,0,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:07:00 UTC,2017-08-09 04:07:00 UTC,5195,285608,1,0,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:07:22 UTC,2017-08-09 04:07:22 UTC,5195,285608,1,3000,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:07:45 UTC,2017-08-09 04:07:45 UTC,5195,285609,2,350,2097,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:08:07 UTC,2017-08-09 04:08:07 UTC,5196,285609,2,600,2099,,,,,3524,,,
2,2,"",49,2017-08-09 04:08:30 UTC,2017-08-09 04:08:30 UTC,5196,285609,2,0,0,,,,,3524,,,
2,2,"",49,2017-08-09 04:08:52 UTC,2017-08-09 04:08:52 UTC,5196,285609,2,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:09:15 UTC,2017-08-09 04:09:15 UTC,5196,285609,2,500,3000,,,,,3524,,,
2,2,"",49,2017-08-09 04:09:37 UTC,2017-08-09 04:09:37 UTC,5196,285609,3,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:09:59 UTC,2017-08-09 04:09:59 UTC,5197,285610,3,0,0,,,,,3524,,,
2,2,"",49,2017-08-09 04:10:24 UTC,2017-08-09 04:10:24 UTC,5197,285610,3,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:10:49 UTC,2017-08-09 04:10:49 UTC,5197,285610,3,1197,1998,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:11:12 UTC,2017-08-09 04:11:12 UTC,5198,285610,4,800,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:11:34 UTC,2017-08-09 04:11:34 UTC,5198,285611,4,250,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:11:57 UTC,2017-08-09 04:11:57 UTC,5198,285611,5,1199,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:12:19 UTC,2017-08-09 04:12:19 UTC,5199,285611,5,1199,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:12:42 UTC,2017-08-09 04:12:42 UTC,5199,285612,5,1198,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:13:06 UTC,2017-08-09 04:13:06 UTC,5200,285612,6,800,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:13:33 UTC,2017-08-09 04:13:33 UTC,5200,285613,6,800,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:13:56 UTC,2017-08-09 04:13:56 UTC,5200,285613,7,1197,1999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:14:18 UTC,2017-08-09 04:14:18 UTC,5201,285613,7,800,2000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:14:41 UTC,2017-08-09 04:14:41 UTC,5201,285614,7,600,4499,,,,,3524,,,
2,2,"",49,2017-08-09 04:15:03 UTC,2017-08-09 04:15:03 UTC,5201,285614,8,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:15:26 UTC,2017-08-09 04:15:26 UTC,5202,285614,8,0,4200,,,,,3524,,,
2,3,"",49,2017-08-09 04:15:48 UTC,2017-08-09 04:15:48 UTC,5202,285614,8,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:16:11 UTC,2017-08-09 04:16:11 UTC,5203,285614,9,2000,4999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:16:33 UTC,2017-08-09 04:16:33 UTC,5203,285615,9,2364,4999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:16:56 UTC,2017-08-09 04:16:56 UTC,5203,285615,10,1050,3498,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:17:18 UTC,2017-08-09 04:17:18 UTC,5204,285615,10,2197,4999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:17:41 UTC,2017-08-09 04:17:41 UTC,5204,285615,10,0,4999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:18:03 UTC,2017-08-09 04:18:03 UTC,5204,285616,11,1999,4999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:18:26 UTC,2017-08-09 04:18:26 UTC,5205,285616,11,2364,4999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:18:48 UTC,2017-08-09 04:18:48 UTC,5205,285616,11,2000,3500,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:19:11 UTC,2017-08-09 04:19:11 UTC,5206,285617,12,850,4999,,,,,3524,,,
2,3,"",49,2017-08-09 04:19:33 UTC,2017-08-09 04:19:33 UTC,5206,285617,12,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:19:56 UTC,2017-08-09 04:19:56 UTC,5206,285617,13,500,4200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:20:18 UTC,2017-08-09 04:20:18 UTC,5207,285617,13,500,4200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:20:41 UTC,2017-08-09 04:20:41 UTC,5207,285618,13,500,4200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:21:03 UTC,2017-08-09 04:21:03 UTC,5207,285618,14,500,5200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:21:26 UTC,2017-08-09 04:21:26 UTC,5208,285618,14,500,5200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:21:49 UTC,2017-08-09 04:21:49 UTC,5208,285619,14,500,5200,,,,,3524,,,
2,3,"",49,2017-08-09 04:22:11 UTC,2017-08-09 04:22:11 UTC,5209,285619,15,0,1,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:22:34 UTC,2017-08-09 04:22:34 UTC,5209,285619,15,0,3600,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:22:56 UTC,2017-08-09 04:22:56 UTC,5209,285619,16,826,4499,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:23:19 UTC,2017-08-09 04:23:19 UTC,5210,285620,16,750,3799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:23:42 UTC,2017-08-09 04:23:42 UTC,5210,285620,16,750,3799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:24:04 UTC,2017-08-09 04:24:04 UTC,5210,285620,17,500,3500,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:24:27 UTC,2017-08-09 04:24:27 UTC,5211,285621,17,0,3500,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:24:49 UTC,2017-08-09 04:24:49 UTC,5211,285621,17,500,3500,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:25:12 UTC,2017-08-09 04:25:12 UTC,5212,285621,18,960,4499,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:25:34 UTC,2017-08-09 04:25:34 UTC,5212,285622,18,960,4499,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:25:57 UTC,2017-08-09 04:25:57 UTC,5212,285622,19,750,3799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:26:19 UTC,2017-08-09 04:26:19 UTC,5213,285622,19,500,4001,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:26:41 UTC,2017-08-09 04:26:41 UTC,5213,285622,19,800,4001,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:27:04 UTC,2017-08-09 04:27:04 UTC,5213,285622,20,1200,4499,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:27:26 UTC,2017-08-09 04:27:26 UTC,5214,285623,20,0,4000,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:27:49 UTC,2017-08-09 04:27:49 UTC,5214,285623,20,600,4001,,,,,3524,,,
2,3,"",49,2017-08-09 04:28:11 UTC,2017-08-09 04:28:11 UTC,5215,285623,21,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:28:34 UTC,2017-08-09 04:28:34 UTC,5215,285623,21,1200,1199,,,,,3524,,,
2,2,"",49,2017-08-09 04:28:57 UTC,2017-08-09 04:28:57 UTC,5215,285623,21,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:29:19 UTC,2017-08-09 04:29:19 UTC,5215,285623,21,0,0,,,,,3524,,,
2,1,"",49,2017-08-09 04:29:42 UTC,2017-08-09 04:29:42 UTC,5215,285623,0,0,0,,,,,3524,,,
2,1,"",49,2017-08-09 04:30:04 UTC,2017-08-09 04:30:04 UTC,5215,285623,0,0,0,,,,,3524,,,
2,1,"",49,2017-08-09 04:30:27 UTC,2017-08-09 04:30:27 UTC,5215,285623,0,0,0,,,,,3524,,,
2,0,"",49,2017-08-09 04:30:49 UTC,2017-08-09 04:30:49 UTC,5215,285623,0,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:31:12 UTC,2017-08-09 04:31:12 UTC,5215,285623,0,24402,3200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:31:35 UTC,2017-08-09 04:31:35 UTC,5216,285624,0,180,3199,,,,,3524,,,
2,2,"",49,2017-08-09 04:31:57 UTC,2017-08-09 04:31:57 UTC,5216,285624,0,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:32:20 UTC,2017-08-09 04:32:20 UTC,5216,285624,0,180,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:32:42 UTC,2017-08-09 04:32:42 UTC,5216,285624,0,180,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:33:05 UTC,2017-08-09 04:33:05 UTC,5217,285624,1,180,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:33:27 UTC,2017-08-09 04:33:27 UTC,5217,285625,1,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:33:50 UTC,2017-08-09 04:33:50 UTC,5217,285625,2,580,2799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:34:12 UTC,2017-08-09 04:34:12 UTC,5218,285625,2,580,2799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:34:35 UTC,2017-08-09 04:34:35 UTC,5218,285625,2,33812,2780,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:34:57 UTC,2017-08-09 04:34:57 UTC,5218,285626,3,1894,5999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:35:20 UTC,2017-08-09 04:35:20 UTC,5219,285626,3,1894,5999,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:35:43 UTC,2017-08-09 04:35:43 UTC,5219,285626,3,0,0,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:36:05 UTC,2017-08-09 04:36:05 UTC,5220,285627,4,360,1799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:36:28 UTC,2017-08-09 04:36:28 UTC,5220,285627,4,360,1799,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:36:50 UTC,2017-08-09 04:36:50 UTC,5220,285627,5,120,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:37:13 UTC,2017-08-09 04:37:13 UTC,5221,285628,5,320,3200,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:37:35 UTC,2017-08-09 04:37:35 UTC,5221,285628,5,1796,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:37:58 UTC,2017-08-09 04:37:58 UTC,5221,285628,6,1796,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:38:20 UTC,2017-08-09 04:38:20 UTC,5222,285629,6,120,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:38:43 UTC,2017-08-09 04:38:43 UTC,5222,285629,6,320,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:39:06 UTC,2017-08-09 04:39:06 UTC,5223,285629,7,1796,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:39:28 UTC,2017-08-09 04:39:28 UTC,5223,285630,7,1796,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:39:50 UTC,2017-08-09 04:39:50 UTC,5223,285630,8,120,3198,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:40:13 UTC,2017-08-09 04:40:13 UTC,5224,285630,8,120,3197,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:40:36 UTC,2017-08-09 04:40:36 UTC,5224,285631,8,1796,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:40:58 UTC,2017-08-09 04:40:58 UTC,5224,285631,9,1796,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:41:21 UTC,2017-08-09 04:41:21 UTC,5225,285632,9,19446,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:41:43 UTC,2017-08-09 04:41:43 UTC,5225,285632,9,320,3199,,,,,3524,,,
2,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 04:42:06 UTC,2017-08-09 04:42:06 UTC,5226,285632,10,850,3199,,,,,3524,,,
