dff	machine_status	job_id	machine_id	created_at	updated_at	total_run_time	total_cutting_time	run_time	feed_rate	cutting_speed	spindle_speed	spindle_load	axis_load	axis_name	programe_number	programe_description	run_second
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:49:38 UTC	2017-08-01 03:49:38 UTC	5	734978	5	350	2401					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:50:02 UTC	2017-08-01 03:50:02 UTC	5	734978	6	350	2400					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:50:31 UTC	2017-08-01 03:50:31 UTC	6	734979	6	350	2401					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:50:53 UTC	2017-08-01 03:50:53 UTC	6	734979	6	350	2400					144		
0	3		16	2017-08-01 03:51:17 UTC	2017-08-01 03:51:17 UTC	6	734979	7	24000	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:51:40 UTC	2017-08-01 03:51:40 UTC	7	734980	7	0	2768					144		
0	1		16	2017-08-01 03:52:04 UTC	2017-08-01 03:52:04 UTC	7	734980	7	0	0					144		
0	1		16	2017-08-01 03:52:26 UTC	2017-08-01 03:52:26 UTC	7	734980	7	0	47					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:52:49 UTC	2017-08-01 03:52:49 UTC	7	734980	8	120	801					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:53:12 UTC	2017-08-01 03:53:12 UTC	8	734980	8	2000	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:53:35 UTC	2017-08-01 03:53:35 UTC	8	734980	8	120	801					144		
0	3		16	2017-08-01 03:53:57 UTC	2017-08-01 03:53:57 UTC	8	734981	9	24000	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:54:19 UTC	2017-08-01 03:54:19 UTC	9	734981	9	300	2500					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:54:42 UTC	2017-08-01 03:54:42 UTC	9	734981	10	0	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:55:05 UTC	2017-08-01 03:55:05 UTC	10	734981	10	300	2500					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:55:28 UTC	2017-08-01 03:55:28 UTC	10	734981	10	26629	801					144		
0	0		16	2017-08-01 03:55:51 UTC	2017-08-01 03:55:51 UTC	10	734981	10	0	0					144		
0	3		16	2017-08-01 03:56:13 UTC	2017-08-01 03:56:13 UTC	10	734981	0	19200	0					144		
0	0		16	2017-08-01 03:56:36 UTC	2017-08-01 03:56:36 UTC	10	734982	0	0	0					144		
0	0		16	2017-08-01 03:56:59 UTC	2017-08-01 03:56:59 UTC	10	734982	0	0	0					144		
0	0		16	2017-08-01 03:57:22 UTC	2017-08-01 03:57:22 UTC	10	734982	0	0	0					144		
0	0		16	2017-08-01 03:57:45 UTC	2017-08-01 03:57:45 UTC	10	734982	0	0	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:58:07 UTC	2017-08-01 03:58:07 UTC	11	734982	0	0	799					144		
0	0		16	2017-08-01 03:58:33 UTC	2017-08-01 03:58:33 UTC	11	734982	0	0	0					144		
0	0		16	2017-08-01 03:58:57 UTC	2017-08-01 03:58:57 UTC	11	734982	0	0	0					144		
0	0		16	2017-08-01 03:59:20 UTC	2017-08-01 03:59:20 UTC	11	734982	0	0	0					144		
0	0		16	2017-08-01 04:00:14 UTC	2017-08-01 04:00:14 UTC	11	734982	0	0	0					144		
0	0		16	2017-08-01 04:00:37 UTC	2017-08-01 04:00:37 UTC	11	734982	0	24000	0					144		
0	0		16	2017-08-01 04:01:00 UTC	2017-08-01 04:01:00 UTC	11	734982	0	0	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:01:22 UTC	2017-08-01 04:01:22 UTC	11	734982	0	80	801					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:01:44 UTC	2017-08-01 04:01:44 UTC	12	734983	0	80	801					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:02:07 UTC	2017-08-01 04:02:07 UTC	12	734983	0	80	801					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:02:30 UTC	2017-08-01 04:02:30 UTC	12	734983	1	80	801					144		
0	1		16	2017-08-01 04:02:52 UTC	2017-08-01 04:02:52 UTC	13	734983	1	0	0					144		
0	1		16	2017-08-01 04:03:14 UTC	2017-08-01 04:03:14 UTC	13	734983	1	0	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:03:37 UTC	2017-08-01 04:03:37 UTC	13	734984	1	24000	1200					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:04:01 UTC	2017-08-01 04:04:01 UTC	13	734984	2	0	1199					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:04:25 UTC	2017-08-01 04:04:25 UTC	14	734984	2	250	2199					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:04:52 UTC	2017-08-01 04:04:52 UTC	14	734984	3	250	2199					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:05:26 UTC	2017-08-01 04:05:26 UTC	15	734984	3	160	200					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:06:06 UTC	2017-08-01 04:06:06 UTC	15	734985	4	160	200					144		
0	3		16	2017-08-01 04:06:42 UTC	2017-08-01 04:06:42 UTC	16	734985	4	0	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:07:13 UTC	2017-08-01 04:07:13 UTC	16	734985	5	24830	1799					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:07:44 UTC	2017-08-01 04:07:44 UTC	17	734986	5	220	1799					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:08:14 UTC	2017-08-01 04:08:14 UTC	17	734986	6	300	1199					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:08:44 UTC	2017-08-01 04:08:44 UTC	18	734986	6	0	2200					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:09:12 UTC	2017-08-01 04:09:12 UTC	18	734986	7	250	2200					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:09:35 UTC	2017-08-01 04:09:35 UTC	19	734986	7	24000	2000					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:09:58 UTC	2017-08-01 04:09:58 UTC	19	734986	8	24000	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:10:21 UTC	2017-08-01 04:10:21 UTC	20	734986	8	25468	0					144		
1	0		16	2017-08-01 04:10:48 UTC	2017-08-01 04:10:48 UTC	20	734987	8	0	0					144		
1	0		16	2017-08-01 04:11:13 UTC	2017-08-01 04:11:13 UTC	20	734987	8	0	0					144		
1	0		16	2017-08-01 04:11:36 UTC	2017-08-01 04:11:36 UTC	20	734987	8	0	0					144		
1	0		16	2017-08-01 04:11:59 UTC	2017-08-01 04:11:59 UTC	20	734987	8	0	0					144		
1	0		16	2017-08-01 04:12:21 UTC	2017-08-01 04:12:21 UTC	20	734987	8	0	0					144		
1	0		16	2017-08-01 04:12:47 UTC	2017-08-01 04:12:47 UTC	20	734987	8	0	0					144		
1	0		16	2017-08-01 04:13:10 UTC	2017-08-01 04:13:10 UTC	20	734987	8	0	0					144		
1	3		16	2017-08-01 04:13:33 UTC	2017-08-01 04:13:33 UTC	20	734987	0	350	1501					144		
1	3		16	2017-08-01 04:13:57 UTC	2017-08-01 04:13:57 UTC	21	734987	0	350	1500					144		
1	3		16	2017-08-01 04:14:26 UTC	2017-08-01 04:14:26 UTC	21	734988	1	350	1501					144		
1	3		16	2017-08-01 04:15:04 UTC	2017-08-01 04:15:04 UTC	22	734988	1	350	1500					144		
1	3		16	2017-08-01 04:15:43 UTC	2017-08-01 04:15:43 UTC	23	734989	2	350	1500					144		
1	3		16	2017-08-01 04:16:20 UTC	2017-08-01 04:16:20 UTC	23	734989	3	350	1500					144		
1	3		16	2017-08-01 04:16:59 UTC	2017-08-01 04:16:59 UTC	24	734990	3	350	1501					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:17:38 UTC	2017-08-01 04:17:38 UTC	24	734990	4	300	1399					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:18:07 UTC	2017-08-01 04:18:07 UTC	25	734991	4	0	1600					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:18:32 UTC	2017-08-01 04:18:32 UTC	25	734991	5	21600	2401					144		
1	0		16	2017-08-01 04:18:57 UTC	2017-08-01 04:18:57 UTC	26	734991	5	0	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:19:20 UTC	2017-08-01 04:19:20 UTC	26	734991	0	350	2401					144		
